STUTS,1,2,3,4,5,6,7,8
1,0.4,0.1,0.2,0.05,0.1,0,0.1,0.05
2,0.1,0.5,0.1,0.1,0.1,0.05,0,0.05
3,0.2,0.1,0.4,0.1,0.1,0.05,0.05,0
4,0.1,0.1,0.1,0.4,0.1,0.1,0.05,0.05
5,0.2,0.1,0.1,0.05,0.4,0.05,0.1,0
6,0.1,0.1,0.1,0.1,0.1,0.4,0.05,0.05
7,0.2,0,0.1,0.05,0.1,0.05,0.4,0.1
8,0.1,0.1,0.05,0.1,0,0.05,0.1,0.5
