STUTS,1,2,3,4,5,6,7,8
1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2
2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2
3,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2
4,0.05,0.05,0.1,0.3,0.1,0.1,0.1,0.2
5,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2
6,0.05,0.05,0.1,0.1,0.1,0.3,0.1,0.2
7,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
8,0.05,0.05,0.05,0.15,0.1,0.1,0.1,0.4
